user_id,item_id,split,timestamp
0,15,train,1
0,9,train,2
0,6,train,3
0,5,train,4
0,16,test,5
0,3,val,6
0,13,train,7
0,28,train,8
0,12,train,9
0,37,train,10
1,20,val,11
1,34,train,12
1,24,train,13
1,26,train,14
1,22,train,15
1,38,test,16
1,36,train,17
1,53,train,18
1,46,train,19
1,28,train,20
2,56,train,21
2,78,train,22
2,59,val,23
2,50,train,24
2,66,train,25
2,46,train,26
2,45,train,27
2,51,train,28
2,48,test,29
2,53,train,30
3,78,train,31
3,64,test,32
3,73,train,33
3,94,train,34
3,67,train,35
3,70,train,36
3,62,val,37
3,63,train,38
3,91,train,39
3,77,train,40
4,105,train,41
4,100,train,42
4,82,train,43
4,87,val,44
4,90,train,45
4,84,train,46
4,85,train,47
4,93,test,48
4,81,train,49
4,86,train,50
5,110,train,51
5,116,train,52
5,13,train,53
5,119,train,54
5,115,train,55
5,6,train,56
5,108,train,57
5,118,val,58
5,101,test,59
5,113,train,60
6,16,train,61
6,5,train,62
6,7,train,63
6,17,train,64
6,14,test,65
6,21,train,66
6,6,train,67
6,12,train,68
6,31,train,69
6,13,val,70
7,22,train,71
7,35,train,72
7,27,train,73
7,25,train,74
7,42,train,75
7,44,train,76
7,38,train,77
7,36,train,78
7,32,val,79
7,21,test,80
8,40,train,81
8,43,train,82
8,45,train,83
8,63,train,84
8,56,train,85
8,53,val,86
8,46,test,87
8,48,train,88
8,66,train,89
8,59,train,90
9,65,val,91
9,86,train,92
9,72,train,93
9,64,train,94
9,66,train,95
9,85,train,96
9,68,test,97
9,77,train,98
9,74,train,99
9,73,train,100
10,96,train,101
10,91,val,102
10,81,train,103
10,117,train,104
10,93,train,105
10,86,train,106
10,92,test,107
10,89,train,108
10,114,train,109
10,87,train,110
11,107,train,111
11,103,train,112
11,108,val,113
11,104,train,114
11,119,test,115
11,102,train,116
11,0,train,117
11,116,train,118
11,113,train,119
11,10,train,120
12,6,train,121
12,17,train,122
12,11,train,123
12,36,train,124
12,1,train,125
12,3,train,126
12,16,val,127
12,2,test,128
12,25,train,129
12,5,train,130
13,23,train,131
13,31,val,132
13,48,train,133
13,29,train,134
13,37,train,135
13,22,test,136
13,53,train,137
13,38,train,138
13,26,train,139
13,33,train,140
14,47,train,141
14,46,val,142
14,56,test,143
14,72,train,144
14,63,train,145
14,49,train,146
14,57,train,147
14,48,train,148
14,59,train,149
14,51,train,150
15,86,train,151
15,61,train,152
15,72,test,153
15,69,train,154
15,66,train,155
15,88,train,156
15,70,val,157
15,68,train,158
15,78,train,159
15,74,train,160
16,87,train,161
16,89,train,162
16,92,train,163
16,105,train,164
16,88,train,165
16,90,val,166
16,98,test,167
16,109,train,168
16,94,train,169
16,91,train,170
17,117,train,171
17,118,test,172
17,102,train,173
17,106,train,174
17,119,val,175
17,6,train,176
17,110,train,177
17,101,train,178
17,108,train,179
17,16,train,180
18,12,train,181
18,3,train,182
18,38,train,183
18,5,val,184
18,18,train,185
18,15,train,186
18,23,train,187
18,8,train,188
18,4,train,189
18,17,test,190
19,38,train,191
19,24,train,192
19,28,train,193
19,25,test,194
19,32,val,195
19,40,train,196
19,30,train,197
19,36,train,198
19,33,train,199
19,47,train,200
20,46,train,201
20,40,val,202
20,68,train,203
20,50,train,204
20,53,train,205
20,44,train,206
20,56,train,207
20,67,train,208
20,57,train,209
20,54,test,210
21,72,test,211
21,74,train,212
21,68,val,213
21,94,train,214
21,98,train,215
21,78,train,216
21,69,train,217
21,79,train,218
21,75,train,219
21,71,train,220
22,114,train,221
22,88,train,222
22,85,train,223
22,105,train,224
22,96,train,225
22,92,val,226
22,83,train,227
22,82,train,228
22,91,train,229
22,89,test,230
23,10,train,231
23,105,test,232
23,114,train,233
23,106,train,234
23,116,val,235
